no,berita,tagging
228,114,"""Lip"
229,utan6 com  california - beberapa hari belakang ini jumlah keluh guna iphone 6 plus ramai dunia maya  smartphone anyar apple layar 5 5 inci itu lapor mudah lengkung bila terlalu lama simpan di dalam saku celana sontak kabar ini jadi apple bulan di bagai media sosial  tak hanya para guna  beberapa kompetitor apple pun tak sia momen ini untuk hajar  usaha logo buah apel gigit itu dan kini apple akhir angkat bicara  turut lapor yang lansir laman wall street journal  wakil apple telah jelas bahwa masalah iphone 6 plus yang mudah lengkung ini terlalu besar  apple klaim bahwa pihak usaha jauh ini baru terima 9 keluh guna dari 10 juta unit iphone 6 dan iphone 6 plus yang telah jual ini arti  cacat pada iphone 6 plus sebut tidak jadi di semua unit  lain hanya bagi kecil    dengan guna normal  iphone 6 plus yang lengkung akan sangat langka jadi    ungkap wakil apple seperti yang kutip dari laman business insider  jumat  26 9 2014  selain itu  jon fort  editor situs berita cnbc juga sebut bahwa wakil apple telah konfirmasi bahwa hanya ada bagi kecil konsumen yang alami masalah iphone 6 plus lengkung  jelas pula bahwa benar rangka body iphone 6 plus sudah cukup kuat dan penuh standar apple    iphone baru sudah sisip baja titanium untuk kuat jumlah lokasi tekan dan guna jenis kaca kuat dalam industri ini    kata wakil apple laman business insider catat  ini adalah respon cepat apple dalam tanggap isu miring yang edar liar di internet  belum apple selalu cuek  hadap bagai isu miring yang timpa produk mereka  ,Valid
230,115,"""Pih"
231,ak apple akhir ungkap perihal kasus iphone 6 yang lengkung atau sebut  bendgate yang telah ramai di bincang di media sosial  produk iphone 6 itu adalah buah hal yang langka dan hanya bagi kecil saja yang alam  apple kata kepada buah situs berita cnbc dan bebearpa media lain bahwa telah banyak yang sudah bahas hal sebut di jejaring sosial maupun di media online  akan tetapi  apple hanya terima 9 komplain dari konsumen tentang iphone 6 yang lengkung saat guna normal seperti yang telah di kutip oleh the verge  jumat  26 9 2014  masalah perangkat dari iphone 6 yang lengkung ini sangat jarang jadi  apple juga tambah bahwa desain iphone 6 dan 6 guna bahan dari logam baja  titanium yang dapat guna untuk kuat struktur perangkat  selain itu juga layar dari iphone 6 dan 6 telah di kuat dengan ion untuk jaga supaya tidak ubah bentuk  pada belum  gambar dari iphone 6 dan 6 yang lengkung telah edar luas di internet  bagi dari guna kata bahwa  jadi itu adalah akibat dari terlalu lama simpan iphone 6 di dalam saku celana banyak juga edar video di laman youtube yang tunjuk bahwa iphone 6 dan 6 memang mudah di bengkok hanya dengan sedikit tekan saja  pihak apple kata akan beri ganti rugi hadap kasus ini  namun pihak dari apple akan lihat lebih dahulu cara kasus per kasus belum beri garansi  ,Valid
232,116,"""iPh"
233,one 6 plus kabar mudah bengkok dan mudah lengkung ketika dapat tekan  dasar lapor jumlah website  jumlah guna phablet canggih iphone 6 plus ini telah lengkung atau bengkok chassis-nya telah masuk ke dalam saku guna  mengapa iphone 6 plus mudah lengkung  banyak yang spekulasi bahwa material iphone 6 plus kurang kuat belum lama ini ada guna yang unggah buah video yang tampil uji kuat chassis iphone 6 plus yang dapat lihat di bawah artikel ini  dasar video sebut  phablet canggih iphone 6 plus ini lihat begitu mudah lengkung atau bengkok tanpa banyak keluar tenaga  tituk lemah iphone 6 plus ini dapat pada bagi bawah volume rocker ada beberapa dapat kena sebab mudah iphone 6 plus ini lengkung selain material yang kurang kuat  phablet iphone 6 plus kabar mudah lengkung karena ia jadi  korban  desain casing aluminium unibody yang padu dengan body yang tipis  hal ini mungkin jadi sebab mengapa casing iphone 6 plus lihat kuarng kuat iphone 6 plus ini hadir dengan layar sentuh ukur 5 5 inci dengan resolusi hd 1920 x 1080 piksel retina hd yang masih guna panel teknologi ips dengan rapat layar 400 piksel per inci  sama seperti iphone 6  layar iphone 6 plus juga lindung oleh ion-strenghthened glass  iphone 6 plus jalan ios 8 iphone 6 plus ini tenaga oleh prosesor apple a8 dual-core 64-bit yang klaim mampu hasil performa 25  lebih cepat dari apple a7 yang guna oleh iphone 5s  iphone 6 plus dan iphone 6 kuat oleh olah grafis dari powervr g6450 gpu  graphics processing unit  quad-core jauh ini belum ada tanggap dari pihak apple kena masalah mudah lengkung atau bengkok iphone 6 plus ini  seperti yang lansir dari gsm arena  23 09 2014  ,Valid
234,117,"""App"
235,le iphone 6 plus usung layar 5 5 inci  dengan ukur layar yang besar  handset sebut bisa sangat lihat apabila alami cacat atau bengkok lansir trustedreviews  jumat  26 9 2014   beberapa guna keluh handset iphone 6 plus mereka lengkung  beberapa dari guna ungkap  layar 5 5 inci terlalu panjang dan tipis untuk bisa tahan tekan apple kata  hanya sembilan orang yang lapor isu kena iphone 6 plus bengkok kepada usaha  sementara apple jual juta unit smartphone baru itu pada pekan lalu    dengan guna normal  bengkok di iphone sangat langka dan lalu enam hari pertama jual  total sembilan langgan kontak apple dengan  keluh  iphone 6 plus yang bengkok  seperti hal produk apple  lain   jika anda milik tanya sila hubung apple    jelas apple lebih lanjut apple ungkap  iphone desain  cipta  produksi dengan gabung desain cantik dan kokoh  dapat material alumunium anodized yang klaim apple buat iphone 6 milik kuat bodi mumpuni    iphone 6 juga tampil besi stainless  anti karat  dan titanium untuk kuat lokasi stres yang tinggi dan guna kaca kuat di industri smartphone  kami pilih bahan kualitas tinggi dan konstruksi sangat hati untuk kuat dan daya tahan iphone 6    jelas apple usaha juga terang bahwa pihak laku tes ketat di seluruh siklus kembang  tes sebut liput uji hadap fisik iphone 6 saat alami tekan pada bodi dan lain kabar  guna lapor iphone 6 plus milik lengkung saat masuk dalam kantung celana lama 18 jam ,Valid
236,118,"""Bar"
237,u  baru ini memang muncul beberapa lapor masalah putar perangkat iphone 6 yang mudah lengkung  hal ini langsung jadi bahan bincang yang sangat panas bahkan beberapa pihak sampi ejek perangkat smartphone baru dari apple ini dengan bagai rangkai kalaimat dan juga gambar  gambar meme  apple pun tidak hanya tinggal diam  pihak langsung merespon kabar sebut dengan sangat cepat  wakil apple ungkap jika pihak baru terima keluh masalah sebut banyak sembilan lapor tiap produk yang luncur oleh apple buat dengan material dengan kualitas tinggi dan juga telah lalu bagai uji ketat serta tahap konstruksi yang sangat hati  hati untuk tetap beri kuat dan tahan pada perangkat itu sendiri  apple pun turut memberika tes ketat seperti bengkok  tekan  duduk  putiran  dan studi guna  semua hal sebut telah lalu oleh iphone 6 dan iphone 6 plus  dua hasil lewat semua standar kualitas tinggi dan standar tahan guna yang tetap oleh applekasus lengkung perangkat iphone 6 ini juga benar jarang jadi dan hanya bagi kecil saja dari sekitar 10 juta unit perangkat iphone 6 dan iphone 6 plus yang disebarluaskan  pihak apple pun saran kepada para guna untuk segera hubung layan langgan jika jadi masalah seperti ini sementara itu pada lapor pisah ungkap bahwa perangkat iphone 6 dan iphone 6 plus yang lengkung atau bengkok ini dapat ganti dengan unit baru cara gratis jika masih dalam masa garansi dan juga penuh syarat dan periksa lebih dahulu  anda juga bisa langsung hubung tim genius yang ada di toko  ada buah alat tes yang sebut visual mechanical inspection sana yang harus lalu oleh perangkat lengkung yang ingin ganti dengan perangkat baru  jika tidak penuh syarat telah uji itu makan ganti akan kena biaya  kemudian apple pun akan ganti cara gratis apabila hal sebut jadi bukan karena faktor sengaja  ,Valid
238,119,"""Cal"
239,ifornia - beberapa hari belakang ini jumlah keluh guna iphone 6 plus ramai dunia maya  smartphone anyar apple layar 5 5 inci itu lapor mudah lengkung bila terlalu lama simpan di dalam saku celana sontak kabar ini jadi apple bulan di bagai media sosial  tak hanya para guna  beberapa kompetitor apple pun tak sia momen ini untuk hajar  usaha logo buah apel gigit itu dan kini apple akhir angkat bicara  turut lapor yang lansir laman wall street journal  wakil apple telah jelas bahwa masalah iphone 6 plus yang mudah lengkung ini terlalu besar  apple klaim bahwa pihak usaha jauh ini baru terima 9 keluh guna dari 10 juta unit iphone 6 dan iphone 6 plus yang telah jual ini arti  cacat pada iphone 6 plus sebut tidak jadi di semua unit  lain hanya bagi kecil    dengan guna normal  iphone 6 plus yang lengkung akan sangat langka jadi    ungkap wakil apple seperti yang kutip dari laman business insider  jumat  26 9 2014  selain itu  jon fort  editor situs berita cnbc juga sebut bahwa wakil apple telah konfirmasi bahwa hanya ada bagi kecil konsumen yang alami masalah iphone 6 plus lengkung  jelas pula bahwa benar rangka body iphone 6 plus sudah cukup kuat dan penuh standar apple    iphone baru sudah sisip baja titanium untuk kuat jumlah lokasi tekan dan guna jenis kaca kuat dalam industri ini    kata wakil apple laman business insider catat  ini adalah respon cepat apple dalam tanggap isu miring yang edar liar di internet  belum apple selalu cuek  hadap bagai isu miring yang timpa produk mereka  ,Valid
240,120,"""Gen"
241,ap sudah satu pecan luncur smartphone canggi hasil besut apple sebut  namun  banyak sekali komentar kena produk apple dengan iphone 6 plus hasil keluar baru sebut apakah pihak aplle dalam desain serta pilih material body dari iphone 6 plus alami salah  atau memang fitur yang bekal pada iphone 6 plus  yang jadi publik gempar bicara kena iphone 6 plus mudah lengkung sebut  simak beberapa ulas ikut ini kena produk iphone 6 plus kasus dari iphone 6 plus mudah melengkungkasus ini awal dari salah satu orang milik iphone 6 plus keluar baru yang unggah foto pada jejaring sosial kena iphone milik yang mudah lengkung saat telah dia taruh iphone sebut dalam celana lama 4 jam penuh orang milik nama hanzon milik iphone baru sebut tahu telah keluar dari saku  pada body iphone alami lengkung tak hanya kasus dari iphone milik hanzon  orang milik iphone 6 plus lain nama devin pitcher juga muka keluh yang sama kena iphone baru nada dengan kasus yang alami hanzon telah devin taruh iphone 6 plus pada saku depan celana  pada saat devin keluar dari saku  temu iphone 6 plus sebut alami lengkung pada bagi tengah  akan tak kuat tahan tekan sehingga iphone 6 plus mudah lengkung sebab iphone 6 plus mudah melengkungpihak apple pun juga aku jika ada beberapa produk yang jual alami lekung pada bagi body produk baru sebut namun  ujar pihak apple sebut  sudah material iphone 6 plus dengan stainless steel dan titanium bagai lindung body dari iphone baru iphone 6 plus sebut juga bahan kaca kuat dalam industry smartphone  serta para kerja apple juga laku uji coba kali dengan banyak tes untuk uju mampu tahan body serta perangkat lain namun  beberapa opini dari orang yang tidak mau sebut nama  beri dapat kena iphone 6 plus mudah lengkung jika salah satu material buat body dari apple sebut rasa kurang kuat  atau pihak aplle salah dalam pilih bahan material dengan ukur iphone 6 plus yang cukup besar hingga ukur 5 5  sebut tidak banding antara ukur dan body dari iphone 6 plus sebut  jika ukur masih dalam kisar 4 5  mungkin masih bisa tahan hadap lengkung  ,Hoax
242,121,"""Bel"
243,um genap bulan  dua produk baru apple  iphone 6 dan iphone 6 plus sudah ragu kuat  beberapa guna iphone 6 plus kejut bukan kepalang saat dapat iphone sayang itu lengkung telah letak beberapa lama di dalam saku belakang celana    bendgate    demikian istilah yang pakai para netizen untuk olok lemah iphone baru apple itu  ini ingat publik gila teknologi pada skandal   antennagate   yang populer di kalang netizen pada tahun 2010 silam  ketika itu  para guna iphone 4 lapor salah desa antena yang sebab sering putus hubung telepon  hingga berita ini turun  belum ada komentar dari apple soal iphone 6 plus yang bisa lengkung dalam saku itu  namun  mereka umum sedang selidik lapor soal masalah yang temu dalam sistem operasi  os  ios 8  bahkan  apple tarik os versi 8 0 1 dasar pantau di media sosial seperti facebook dan twitter  masalah iphone 6 yang bisa lengkung buat para guna celana jeans khawatir  bahkan  kalimat   celana terlalu ketat untuk ponselmu   jadi populer dan di-mention ulang kali  ,Hoax
244,122,"""Bel"
245,um selesai iphone 5 lempar ke pasar  apple sudah punya ide untuk generasi ke-6 smartphone mereka  kabar  apple akan kenal produk baru dengan layar sentuh lengkung tahun depan  usaha asal california ini telah hubung pasok layar ipad dan iphone  lens technology  g-tech dan fuji crystal  dan akan pasok mereka dengan alat untuk moles leku kaca guna layar sentuh dengan kaca lengkung  turut jumlah pakai asa lebih nyaman lama panggil telepon  leku sebut juga lindung layar dari gores ketika smartphone atau tablet taruh dalam posisi telungkup  corning  yang sedia layar anti gores untuk jumlah smartphone  telah kembang buah versi lengkung layar gorilla glass populer mereka  tetapi tidak jelas jika layar ini akan guna pada produk apple di masa datang ini bukan pertama kali desain sebut guna pada perangkat smartphone  google dan samsung juga bekal smartphone nexus s dengan layar cekung  dell juga pernah main dengan tampil lengkung pada smartphone venue pro yang platform windows phone  meski popularitas layar cekung nampak tanjak  beberapa amat lihat desain sebut bagai tren saat saja  ,Hoax
246,123,"""Kab"
247,ar yang satu ini mungkin sangat guna bagi para konsumen tanah air yang niat beli iphone 6 plus saat rilis di pasar indonesia nanti telah beberapa hari rilis di jumlah negara  smartphone anyar apple layar jumbo 5 5 inci itu mulai tuai protes dari guna  turut lapor bagi guna iphone 6 plus  iphone layar besar itu nyata mudah lengkung bila terlalu lama simpan di dalam saku celana  jadi ini pertama kali lapor oleh orang milik iphone 6 nama hanzon di situs forummacrumors  ia aku simpan iphone 6 plus di dalam saku celana lama kurang lebih 4 jam  dan laku aktifitas hari seperti biasa  saat keluar  hanzon kejut ketika ia lihat bagi tengah iphone 6 plus milik itu sedikit bungkuk   alias lengkung tak hanya hanzon  laman macrumors lansir  orang guna lain nama devin pitcher juga ungkap keluh rupa di forum  devin aku simpan iphone 6 plus anyar milik di saku celana bagi depan  saat keluar  bagi tengah iphone 6 plus pun melengkuk seperti tank sanggup tahan tekan guna layar besar 5 5 inci memang khawatir akan ganggu nyaman guna  apple pun sudah laku antisipasi dengan pindah tombol power yang biasa leta di bagi atas ke bagi samping kanan agar mudah guna dengan satu tangan  namun masalah dimensi yang besar batas kenyam guna saat simpan di saku celana tampak tidak pikir oleh apple  selain itu  apple juga nilai laku salah dengan pilih material campur metal-aluminium yang tidak terlalu solid bagai bahan dasar rangka iphone 6 plus  mungkin rangka iphone sebut belum lulus uji utm  universal testing machine   uji utm fungsi uji rangka iphone 6 plus dengan cara tekan dan di tarik hingga batas maksimal  jika kuat yang di butuh untuk bengkok iphone sebut kecil  arti mudah bengkokapa itu utm  universal testing machine rupa buah mesin uji untuk uji tegang tarik dan kuat tekan bahan atau material  universal testing machine  biasa juga kenal bagai universal tester  materials testing machine atau materials test frame  mesin uji ini telah bukti bahwa ia dapat laku tarik banyak standar dan tes kompresi pada bahan  komponen  dan struktur ,Hoax
248,124,"""Cal"
249,ifornia - beberapa hari belakang ini jumlah keluh guna iphone 6 plus ramai dunia maya  smartphone anyar apple layar 5 5 inci itu lapor mudah lengkung bila terlalu lama simpan di dalam saku celana  sontak kabar ini jadi apple bulan di bagai media sosial  tak hanya para guna  beberapa kompetitor apple pun tak sia momen ini untuk hajar  usaha logo buah apel gigit itu  dan kini apple akhir angkat bicara  turut lapor yang lansir laman wall street journal  wakil apple telah jelas bahwa masalah iphone 6 plus yang mudah lengkung ini terlalu besar  apple klaim bahwa pihak usaha jauh ini baru terima 9 keluh guna dari 10 juta unit iphone 6 dan iphone 6 plus yang telah jual  ini arti  cacat pada iphone 6 plus sebut tidak jadi di semua unit  lain hanya bagi kecil    dengan guna normal  iphone 6 plus yang lengkung akan sangat langka jadi    ungkap wakil apple seperti yang kutip dari laman business insider  jumat  26 9 2014   selain itu  jon fort  editor situs berita cnbc juga sebut bahwa wakil apple telah konfirmasi bahwa hanya ada bagi kecil konsumen yang alami masalah iphone 6 plus lengkung  jelas pula bahwa benar rangka body iphone 6 plus sudah cukup kuat dan penuh standar apple  iphone baru sudah sisip baja titanium untuk kuat jumlah lokasi tekan dan guna jenis kaca kuat dalam industri ini  kata wakil apple  laman business insider catat  ini adalah respon cepat apple dalam tanggap isu miring yang edar liar di internet  belum apple selalu cuek  hadap bagai isu miring yang timpa produk mereka  jakarta  apple terima berita tak sedap kena produk baru iphone 6 plus  perangkat phablet buat apple ini keluh oleh bagi guna milik body yang ringkih mudah lengkung saat di masuk ke saku depan celana  lapor ini asal dari guna di forum macrumors nama hanzon  yang cerita dia pasu iphone 6 plus ke dalam saku celana bagi depan dalam waktu yang cukup lama  yakni sekitar 4 jam  hanzon aku dia tidak keluar iphone 6 plus milik lama jalan aktifitasnya lama 4 jam sebut  dan ketika dia kemudian keluar smartphone baru sebut  hanzon kaget karena dapat iphone 6 plus sayang lengkung  lihat makin ramai lapor sebut  orang guna uji lentur iphone 6 plus serta menguploadnya di youtube  bagai banding  dia juga uji lentur dari smartphone lain  yaitu samsung galaxy note 3  dalam tayang video sebut  lihat bagaimana iphone 6 plus nyata memang sangat mudah lengkung  guna yang yang memposting video sebut juga kata bahwa belum tes iphone 6 plus milik  sudah lihat sedikit lengkung  titik lemah tampak ada di sisi kiri  tepat di bawah tombol volume  masalah body lengkung ini seperti hanya jadi pada iphone 6 plus saja  sementara untuk iphone 6 yang milik ukur 4 7 inci tidak ada lapor soal masalah body lengkung ini ,Hoax
250,125,"""Ber"
251,itateknologi com smartphone dengan layar lengkung seperti galaxy round dan g flex belum oleh hasil yang signifikan di pasar  lebih dengan harga yang sangat mahal  namun hal sebut lapor tak henti usaha smartphone lain untuk produksi handphone dengan layar lengkung iphone baru milik apple di tahun 2014 pun kabar tak mau tinggal dengan guna layar lengkung  dalam buah lapor yang tulis bloomberg  iphone 6 milik apple bakal hadir dengan upgrade besar banding iphone 5s  sumber dari bloomberg kata bahwa iphone 6 itu tak hanya bakal hadir dengan desain layar lengkung  apple pun kata bakal guna sensor tambah yang mampu deteksi tingkat tekan yang beda  selain itu  apple juga kata siap dua model iphone 6  salah satu bakal hadir dengan layar 5 5 inci sedang yang lain punya layar 4 7 inci  dua model iphone 6 itu akan hadir dengan desain layar lengkung  ,Hoax
252,126,"""Apl"
253,e akhir buka suara kena kasus iphone 6 lengkung yang ramai bincang di media sosial dengan istilah  bendgate  turut apple  iphone 6 yang lengkung adalah kasus yang langka dan hanya sedikit yang alam kutip dari the verge  jumat  26 9 2014   apple kata kepada stasiun berita cnbc dan beberapa media lain bahwa walau banyak yang bahas di jejaring sosial maupun media online  namun apple hanya terima 9 komplain dari konsumen tentang iphone 6 bengkok saat guna normal apple kata bahwa masalah perangkat yang lengkung itu sangat jarang jadi  apple juga kata bahwa desain iphone 6 dan iphone 6 plus guna bahan logam baja titanium yang guna untuk kuat struktur perangkat itu selain itu  layar iphone 6 dan iphone 6 plus sebut apple telah kuat dengan ion untuk jaga agar tidak ubah bentuk belum  gambar iphone 6 dan iphone 6 plus yang lengkung edar luas di internet  beberapa guna kata bahwa jadi itu adalah akibat dari terlalu lama simpan iphone 6 di saku celana telah itu  banyak edar video di youtube yang tunjuk bahwa iphone 6 dan iphone 6 plus memang mudah bengkok hanya dengan sedikit tekan saja apple kata akan beri ganti rugi hadap kasus iphone lengkung itu  namun mereka akan lihat cara kasus per kasus belum beri garansi  ,Valid
254,127,"""Jak"
255,arta - ketika apple luncur iphone 6 plus bagai iphone besar dengan ukur layar 5 5 inch  banyak yang khawatir itu akan buat guna sulit pasu ke kantong celana  takut sebut akhir bukti memang ini bukan bagi besar  namun beberapa guna iphone 6 plus yang pasu piranti ke kantong celana paksa harus terima nyata bagi yang lengkung di iphone 6 plus milik seperti yang cerita guna forum macrumors nama hanzon  dia aku cukup lama pasu iphone 6 plus ke dalam saku celana bagi depan  tidak 4 jam perangkat sebut ada di kantung saat di dalam celana sebut  hanzon tak keluar iphone 6 plus itu dan terus aktivitas biasa seperti  hasil  dia dapat bagi tengah smartphone baru itu agak bungkuk alam buruk juga alami oleh devinpitcher  dia juga taruh iphone 6 plus milik di saku depan  tak jelas berapa lama dia manaruhnya  yang jelas itu cukup buat lengkung  demikian yang kutip detikinet dari macrumors  rabu  24 9 2014  belum ada konfirmasi resmi dari pihak apple kena masalah sebut  namun yang jelas ini jadi alas untuk guna iphone 6 plus agar hati taruh idevice baru  ,Hoax
256,128,"""Bel"
257,um ada satu bulan sejak rilis dan jual resmi  jumlah guna iphone 6 dan iphone 6 plus sudah mulai beri keluh dan kritik kepada apple karena suatu hal  yang paling sering temu  para guna ini keluh karena iphone 6 dan iphone 6 plus milik mereka bengkok dalam ketika telah masuk ke dalam saku lapor oleh daily mail  tidak ada jumlah guna iphone 6 dan iphone 6 plus yang mengalamai hal itu dan lapor ke apple serta ceo-nya  tim cook lewat sosial media sambil unggah foto perangkat mereka yang bengkok sebut    hai tim cook  benar aku sangat suka perangkat baru iphone 6 plus ini  fitur yang paling aku suka dari iphone 6 plus ini adalah fleksibilitas hingga lengkung seperti ini   kicau orang guna di twitter sementara itu  guna lain juga sebut bahwa ia bawa iphone 6 baru sebut di dalam saku dan langsung lengkung begitu keluar  turut  hal ini sebab oleh bahan material yang guna sangat rentan dengan hal seperti itu baca juga  smartphone baru buat korea utara ini gabung  iphone dan samsung galaxy   aku pergi setir dan taruh iphone 6-ku di kantong  aku turun dan kemudian duduk minum kopi di kafe  saat keluar iphone 6-ku  betapa kejut aku lihat bentuk yang sudah tidak seperti mula  kecewa   kata orang guna nama hanzoh ukur iphone 6 plus yang capai 5 5 inchi dengan bahan material yang buat dari metal sebut nyata tidak seperti yang kira belum  meski baru sedikit yang alami hal ini  jumlah guna yang iphone 6 milik bengkok mulai tambah  tentu ini jadi kecewa sendiri bagi mereka yang harus bayar hingga bas juta rupiah untuk perangkat sebut  ,Hoax
258,129,"""Set"
259,elah beberapa minggu ada di pasar dan jadi benda yang paling banyak cari oleh para cinta gadget kelas premium  nyata ada beberapa guna iphone 6 yang rasa kecewa dengan produk yang mereka beli dengan harga yang cukup mahal sebut  ada beberapa dari guna iphone yang rasa bahwa kualitas pernagkat yang mereka beli jauh bawah standar karena mereka merasaiphone 6 lembek dan mudah lengkung hal sebut atas bukan hanya isu atau gosip  coba anda masuk iphone baru anda ke kantong celana tanpa wadah lindung atau coba anda tekan sedikit saja seperti anda hendak patah batang coklat  maka anda akan segera tahu memang body iphone 6 mudah lengkung  jika anda rasa tidak rela harus bengkok iphone anda sendiri  sudah banyak video dan gambar yang bisa anda nduh dan lihat dari internet yang lihat lemah apple sebut akibat luap kecewa guna iphone 6 yang banyak unggah di youtube dan juga lapor yang masuk ke apple  yang kata body iphone baru jauh lebih lembek dari dahulu  apple harus tel pil pahit dengan alami turun nilai saham apple besar 3 8   harga saham apple turun telah video bengkok iphone edar di youtube selain itu  video yang lihat bahwa iphone 6 lembek dan mudah lengkung juga parah dengan ada banyak lapor yang nyata bahwa ada banyak salah dalam baharu ios dari ios 7 ke ios 8  masalah yang hadap antara lain adalah update yang putus dan juga guna space yang lebih dari 5gb hanya untuk update  sehingga banyak guna iphone yang harus hapus bagi file foto dan video yang mereka punya untuk hindar isu yang lebih luas  apple kemudian buat klaim bahwa rusa yang jadi pada iphone 6 yang klaim lembek dan mudah lengkung itu langka jadi jika guna dengan normal  apple klaim dalam 6 hari jual  hanya ada 9 konsumen yang kontak iphone karena produk mereka bengkok  namun apple lupa bahwa iphone jual ke seluruh dunia dan ada lebih banyak guna yang tidak tahu harus hubung siapa untuk dapat ganti iphone mereka karena memang rusa sebut tidak masuk garansi masalah lain yang kait dengan isu iphone 6 lembek dan mudah bengkok adalah update ios 8 yang nyata masalah  banyak konsumen yang telepon karena dapat salah saat deteksi sidik jari mereka  karena hal sebut  apple kemudian henti distribusi ios dan rilis yang baru hari kemudian  jika banding dengan saing  kuat iphone 6 hanya paruh saja dari produk saing seperti samsung dan lg  dari galaxy note 3  lg g3  htc one m8  dan iphone  yang uji dengan beban 4 5kg  yang langsung lengkung bodi adalah iphone 6 dan m8  lapor consumer reports  ,Hoax
260,130,"""Jik"
261,a iphone 4s punya masalah fatal upa turun fungsi antena  maka iphone seri baru ancam masalah dari segi desain  salah satu konsumen iphone 6 plus lapor bila iphone sayang lihat lengkung telah beberapa waktu pakai hampir satu minggu telah iphone 6 plus gelombang pertama masuk pasar dan mulai guna di seluruh dunia  orang tulis portal berita teknologi  russel holly aku bila iphone 6 plus milik tahu lengkung di bagi layar depan  komplain dari holly sebut layang telah muncul beberapa komplain rupa di buah forum dunia maya  ars technica  24 09  dasar hasil analisis dari lapor holly  besar mungkin bila iphone 6 plus milik lengkung akibat tekan dari saku dan papar panas tubuh yang buat body smartphone sebut muai  kombinasi dua faktor sebut klaim mudah iphone 6 plus yang memang milik dimensi lebar dan tipis untuk lengkung beberapa lapor lain nyata bila iphone 6 plus mereka lengkung telah masuk di saku belakang dan pakai untuk aktivitas seperti duduk hingga dansa  hanya selang bas jam  iphone 6 plus sebut nampak lengkung tetapi masih bisa guna dengan lancar pihak apple sendiri belum keluar konfirmasi resmi mereka kait potensi lengkung iphone 6 atau iphone 6 plus telah pakai dalam jangka waktu tentu  tidak sedikit pihak yang nyata bisa saja salah desain lah yang buat iphone 6 dapat bengkok isu lengkung iphone 6 plus akan beri citra buruk pada apple apabila nanti kasus ini jadi epidemi  di kalang guna  usaha yang pimpin oleh tim cook sebut tentu tidak mau kasus rusa massal antena iphone 4s kembali ulang di salah satu produk baik yang buat di bawah era ceo baru apple sebut ,Hoax
262,131,"""Jak"
263,arta  cnn indonesia -- ingat fenomena ponsel bengkok yang jadi pada iphone 6 plus  milik galaxy s6 edge nyata juga bisa alami hal yang sama awal luncur iphone 6 plus langsung terpa isu tak sedap  yakni tubuh ponsel yang nyata mudah bengkok saat tekan  hal ini nyata juga jadi pada ponsel baru samsung squaretrade  buah usaha elektronik laku uji hadap iphone 6 plus  galaxy s6 edge dan htc one m9  tiga coba tekan dengan mesin yang sama dari hasil uju sebut lihat bahwa iphone 6 plus mulai lihat bengkok saat terima tekan berat 50 kg  dan lihat patah saat tekan hingga 81 kg sementara galaxy s6 edge nyata milik tahan yang sama  layar dan tubuh lihat benar rusak saat beban tekan berat 81 kg    ini isu bendgate dua  bukan  gemar samsung akan alami hal lebih buruk  mereka tidak akan temu ponsel yang bengkok  lain pecah kaca di dalam saku   kata isi suara dalam video sebut sementara untuk htc one m9  layar sudah lihat bengkok saat terima tekan 54 kg  dan karena tombol daya tepat ada di tengah  maka rusa sebut buat ponsel sama sekali tidak fungsi ikut adalah video uji yang laku squaretradedari hasil uji sebut bisa lihat bahwa kritik pedas yang tuju kepada apple soal iphone 6 plus yang mudah bengkok  juga alami oleh saing galaxy s6 edge dan htc one m9 tapi perlu catat juga  bahkan untuk buat tiga ponsel sebut lengkung tidak mudah  karena memang butuh tekan yang cukup keras di salah satu titik  ,Hoax
264,132,"""Mud"
265,ah lengkung casing iphone 6 plus jadi bincang hangat belakang ini  dan itu bukan hisapan jempol semata  sudah ada guna iphone 6 plus yang alami jadi sebut ukur layar yang 5 5 inch memang masuk kantong celana  namun tanpa sadar lama dalam kantong smartphone sebut alami ubah bentuk  lengkung  yang akibat gera tekan yang tidak sadar oleh milik buah video yang diposting di youtube tunjuk rentan desain unibody yang bungkus alumunium sebut  orang dalam video yang unggah di youtube coba lengkung iphone 6 plus lalu tekan dua tangan dan hasil lihat bagi leku di sisi belah kiri  tepat di bawah tombol volume  bentuk yang ramping justru bawa lemah pada diri agar lebih adil  orang dalam video sebut juga unggah video lain dengan tingkat uji yang sama  tetapi dengan guna unit samsung galaxy note 3  samsung galaxy note 3 yang guna casing plastik nyata frame rancang bangun lebih kuat banding iphone 6 plus  hingga saat ini seperti kutip dari gsmarena  pihak apple belum beri konfirmasi kena hal sebut ,Valid
266,133,"""JAK"
